AÑO,CODIGO,PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROMEDIO
2006,0101,ACELGA,0.97,1.14,1.18,1.11,1.1,1.12,1.01,1.1,0.97,0.98,0.89,0.92,1.04
2006,0201,AJI AMARILLO SECO,4.16,3.28,2.88,2.96,3.29,3.33,4.63,3.11,3.83,3.26,4.06,5.48,3.69
2006,0202,AJI ESCABECHE FRESCO/ZANAHOR/LISO,1.08,0.97,0.5,0.82,1,0.94,0.82,0.86,0.77,1.22,3.09,4.38,1.37
2006,0206,AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA),1.04,2.6,3.19,3.68,2.18,2.38,3.65,3.61,1.89,1.27,1.3,2.07,2.41
2006,0208,AJI SECO PANCA,3.25,3.13,3.01,3.05,3.33,3.92,5.49,4.56,4.38,5.64,5.6,6.36,4.31
2006,0209,AJI ROCOTO (COSTA/SIERRA/SELVA),0.67,1.25,1.77,2.9,2.3,1.51,1.51,0.93,0.92,0.98,1.44,1.07,1.44
2006,0210,AJI LIMO (COSTA/SELVA),,,2.35,1.95,,,,,,,,,2.15
2006,0211,PAPRIKA,3.76,3.61,3.57,3.28,3.2,3.84,3.7,3.77,3.89,4.67,5.88,6.58,4.15
2006,0302,AJO CRIOLLO O NAPURI,1.71,1.67,1.84,2.13,3.07,3.25,3.33,2.32,1.39,1.4,1.26,1.4,2.06
2006,0303,AJO MORADO/BARRAN/LEGIT/OTROS,2.68,2.34,2.31,2.71,3.77,4.01,4.44,4.25,3.61,2.68,2.44,2.08,3.11
2006,0305,AJO SERRANO SEMILLA CORRIENTE/ARICOTA,,,,2.38,2.65,2.72,2.71,1.99,1.43,,,,2.31
2006,0401,ALBAHACA,1.61,2,2.41,1.61,1.87,1.69,1.96,1.85,1.83,2.01,2.58,1.79,1.93
2006,0501,ALCACHOFA CRIOLLA,1.69,,,,,,4.09,3.42,3.19,,,,3.1
2006,0502,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,1.87,1.98,1.91,1.72,1.85,2.74,2.9,,3.24,2.77,1.77,1.84,2.24
2006,0601,APIO,0.56,0.72,1.3,0.99,0.79,0.98,0.99,1.08,0.88,0.68,0.6,0.65,0.85
2006,0701,ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR),2.49,2.27,1.9,1.47,1.69,1.57,1.34,1.7,1.62,1.28,1.57,2.13,1.75
2006,0702,ARVEJA VERDE AZUL (CRIOLLA/SERRANA),2.09,1.72,1.27,1.23,1.32,1.35,1.24,1.55,1.5,1.21,1.43,1.97,1.49
2006,0703,ARVEJA VERDE BLANCA CRIOLLA,1.73,,,,,1.33,1.13,1.42,1.21,0.89,0.89,1.54,1.27
2006,0704,ARVEJA VERDE BLANCA SERRANA,1.79,1.5,1.4,1.25,1.23,1.28,1.03,1.36,1.2,1,1.13,1.7,1.32
2006,0705,ARVEJA SECA ENTERA,,,,,,,2.1,,,,,,2.1
2006,0706,ARVEJA SECA PART. AMERICANA,2.1,1.9,,2.1,,,,1.62,,,2.1,,1.96
2006,0707,ARVEJA SECA PART. NACIONAL,,,,,,,,1.33,,,,,1.33
2006,0709,CREMA DE ARVEJA (MORON DE ARVEJA),2.5,,,,,,2.5,,,,2.5,,2.5
2006,0801,BERENJENA (CRIOLLA/SERRANA),2.68,2.2,2.46,3.23,2.58,2.5,2.4,2.43,2.94,2.43,2.63,2.67,2.6
2006,0901,BETERRAGA (CRIOLLA/SERRANA),0.75,0.95,1.17,1.04,0.93,1.06,1.24,1.58,1.38,0.99,0.84,0.94,1.07
2006,1001,CAIGUA (CRIOLLA/SERRANA),1.4,,,,,,1.63,1.84,1.78,2.09,1.48,2.55,1.82
2006,1002,CAIGUA (SELVA),1.14,1.11,1,0.97,0.88,0.84,0.88,1.13,1.03,0.93,,1.39,1.03
2006,1201,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.86,0.89,0.84,0.7,0.75,0.66,0.72,0.66,0.59,0.51,0.38,0.34,0.66
2006,1202,CAMOTE NEMAÑETE,,,,,,,,0.66,,,,,0.66
2006,1203,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,0.55,0.66,0.61,0.54,0.61,0.52,0.53,0.66,0.62,0.53,0.41,0.36,0.55
2006,1301,CEBADA CORRIENTE/ESTAQUILLA,1.1,,,,,,0.95,,,,1.15,,1.07
2006,1302,CEBADA MORON NACIONAL (PART/ENT),1.5,,,,,1.35,1.5,,,,1.5,,1.46
2006,1305,CEBADA TOSTADA(CORRIENTE/ESTAQUILLA),1.35,,,1.3,,,1.3,1.07,,,1.3,,1.26
2006,1306,CEBADA MORON NACIONAL (PARTIDO/TOSTADO),,,,,,,,1.17,,,,,1.17
2006,1401,CEBOLLA CABEZA BLANCA NACIONAL,0.39,0.31,0.52,0.49,0.5,1.29,0.84,0.87,0.94,0.87,0.5,0.35,0.66
2006,1402,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,0.68,0.62,0.72,0.69,0.59,0.58,0.57,0.86,1.34,1.45,0.6,0.37,0.76
2006,1403,CEBOLLA CHINA (CRIOLLA/SERRANA),2.61,3.06,2.99,2.62,2.38,2.85,4.35,3.17,2.83,2.65,2.75,2.86,2.93
2006,1501,COL BLANCA,,,,,,,0.26,,,,,,0.26
2006,1502,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.46,0.47,0.46,0.47,0.59,0.43,0.35,0.3,0.28,0.32,0.32,0.29,0.4
2006,1503,COL CRESPA,0.53,0.57,0.57,0.55,0.62,0.45,0.4,0.35,0.35,0.42,0.53,0.36,0.48
2006,1601,COLIFLOR (CRIOLLA/SERRANA),0.57,0.66,0.7,0.62,0.58,0.47,0.36,0.42,0.56,0.52,0.53,0.58,0.55
2006,1701,CULANTRO (CRIOLLO/SERRANO),1.4,1.07,1.18,0.96,0.95,1.1,1.16,1,0.82,1.01,0.99,1.04,1.06
2006,1801,CHOCLO SERRANO SEMILLA CORRIENTE,1.22,1.1,0.9,0.9,0.89,0.97,1.23,1.46,0.83,0.67,0.98,0.83,1
2006,1802,CHOCLO PARDO,0.83,0.68,,,,1.23,1.04,1.67,0.98,0.57,0.86,0.78,0.96
2006,1803,CHOCLO CRIOLLO O CHANCAYANO,,,,,,,,0.73,0.64,,,,0.69
2006,1804,CHOCLO SERRANO TIPO CUZCO,1.34,1.25,1.31,1.25,1.33,1.6,1.63,2.07,1.29,0.87,1.25,1.12,1.36
2006,1902,CHU¿O IMPORTADO (HARINA),3.5,,,3.3,,,2.9,,,,3.1,,3.2
2006,2001,ESPARRAGO/VERDE/BLANCO,3.61,3.63,3.64,3.73,3.91,3.64,3.56,3.66,3.64,3.6,3.44,3.57,3.64
2006,2101,ESPINACA (CRIOLLA/SERRANA),0.95,1,1.58,1.68,1.54,1.57,1.13,1.3,1.28,1.06,1,1.16,1.27
2006,2201,FREJOL VERDE CANARIO,1.3,1.68,1.8,2.06,1.68,1.49,1.33,1.73,1.47,1.46,1.25,1.16,1.53
2006,2202,FREJOL VERDE CASTILLA,0.89,0.79,0.88,0.77,0.72,0.76,,,,,0.89,0.82,0.82
2006,2204,FREJOL SECO BAYO,,,,3.7,,,3.1,,,,3.3,,3.37
2006,2205,FREJOL SECO BLANCO,,3.3,,,,3.25,3.3,2.73,,,2.5,,3.02
2006,2206,FREJOL SECO CABALLERO/BURRO,,,,3.4,,,3.5,3.55,,,3.3,,3.44
2006,2207,FREJOL SECO CANARIO(CAMA/CHIN/HUAR/SERR),3.9,3.3,3.9,,3.88,3.78,3.66,3.33,3.27,3.75,3.76,3.64,3.65
2006,2209,FREJOL SECO CARAOTA,,,,,,,1.9,,,,,,1.9
2006,2210,FREJOL SECO CASTILLA NACIONAL(BLA/NEGR),2.5,,3.2,2.1,,,1.9,1.91,1.86,1.93,1.96,,2.17
2006,2211,FREJOL SECO CHINO LOC TAU,2.5,,,,,,,,,,,,2.5
2006,2212,FREJOL SECO GUINDA,,,,3.65,,,3.5,2.9,,,3.3,,3.34
2006,2213,FREJOL SECO NEGRO,3.2,,3.2,3.65,,,,,,,,,3.35
2006,2214,FREJOL SECO PANAMITO,,,,3.3,,2.25,2.5,,,,2.1,,2.54
2006,2301,GARBANZO SECO CRIOLLO NACIONAL,,3.9,,5.3,,,4.9,3.67,,,4.1,,4.37
2006,2303,GARBANZON SECO NACIONAL,,,,5.3,,4.75,,4.1,,,,,4.72
2006,2401,HABA SECA ENTER.BLANC.NAC.(CRI/SER),1.95,,1.9,1.75,,,1.9,1.47,,,1.9,,1.81
2006,2403,HABA SECA PARTIDA (CRIOLLA/SERRANA),2.5,2.3,2.3,2.3,,2.5,2.3,1.87,,,2.3,,2.3
2006,2404,HABA VERDE CRIOLLA/SRTA/GERG/PACAE/AMAR,,,,,,0.97,0.63,0.55,0.68,1.04,0.67,,0.76
2006,2405,HABA VERDE SERRANA,1.02,0.87,0.91,0.7,0.7,1.17,0.72,0.83,1.04,1.22,0.87,0.84,0.91
2006,2407,HABA SECA IMPORTADA,,,,,,,,2.37,,,,,2.37
